,variety,country,province,region_1,count
0,Abouriou,France,Southwest France,Côtes du Marmandais,2
4,Agiorgitiko,Greece,Corinth,none,2
5,Agiorgitiko,Greece,Nemea,none,51
7,Agiorgitiko,Greece,Peloponnese,none,7
8,Aglianico,Italy,Italy Other,Vino Spumante,2
9,Aglianico,Italy,Southern Italy,Aglianico del Beneventano,2
10,Aglianico,Italy,Southern Italy,Aglianico del Taburno,13
11,Aglianico,Italy,Southern Italy,Aglianico del Vulture,90
12,Aglianico,Italy,Southern Italy,Basilicata,6
13,Aglianico,Italy,Southern Italy,Beneventano,3
14,Aglianico,Italy,Southern Italy,Campania,37
15,Aglianico,Italy,Southern Italy,Castel del Monte,4
16,Aglianico,Italy,Southern Italy,Cilento,2
18,Aglianico,Italy,Southern Italy,Irpinia,51
19,Aglianico,Italy,Southern Italy,Molise,3
21,Aglianico,Italy,Southern Italy,Puglia,5
22,Aglianico,Italy,Southern Italy,Sannio,3
24,Aglianico,Italy,Southern Italy,Taurasi,117
26,Aglianico,Italy,Southern Italy,Terre del Volturno,2
27,Aglianico,US,California,Amador County,2
34,Aglianico,US,California,Paso Robles,2
35,Aglianico,US,California,Sierra Foothills,2
41,Airen,Spain,Central Spain,Vino de la Tierra de Castilla,2
42,Albana,Italy,Central Italy,Albana di Romagna,7
44,Albana,Italy,Central Italy,Romagna,14
47,Albariño,Spain,Catalonia,Costers del Segre,3
49,Albariño,Spain,Galicia,Rías Baixas,336
52,Albariño,US,California,Calaveras County,6
53,Albariño,US,California,Carneros,2
54,Albariño,US,California,Central Coast,7
57,Albariño,US,California,Edna Valley,26
58,Albariño,US,California,Lodi,8
59,Albariño,US,California,Monterey,5
60,Albariño,US,California,Monterey County,2
61,Albariño,US,California,Napa Valley,4
62,Albariño,US,California,Paso Robles,10
63,Albariño,US,California,Russian River Valley,7
66,Albariño,US,California,San Luis Obispo County,3
67,Albariño,US,California,Santa Maria Valley,2
68,Albariño,US,California,Santa Ynez Valley,6
69,Albariño,US,California,Sonoma Coast,3
70,Albariño,US,California,Sonoma Valley,2
71,Albariño,US,California,Yolo County,2
74,Albariño,US,New York,North Fork of Long Island,2
79,Albariño,US,Oregon,Umpqua Valley,6
80,Albariño,US,Oregon,Willamette Valley,3
82,Albariño,US,Virginia,Virginia,2
83,Albariño,US,Washington,Ancient Lakes,2
84,Albariño,US,Washington,Columbia Valley (WA),3
86,Albariño,US,Washington,Walla Walla Valley (WA),2
87,Albariño,US,Washington,Yakima Valley,2
88,Albariño,Uruguay,Montevideo,none,3
89,Albariño,Uruguay,Uruguay,none,3
90,Albarossa,Italy,Piedmont,Monferrato,2
96,Alfrocheiro,Portugal,Alentejano,none,7
97,Alfrocheiro,Portugal,Dão,none,5
98,Alfrocheiro,Portugal,Tejo,none,4
100,Alicante,Italy,Tuscany,Maremma,2
103,Alicante Bouschet,Portugal,Alentejano,none,18
104,Alicante Bouschet,Portugal,Alentejo,none,2
106,Alicante Bouschet,Portugal,Lisboa,none,8
107,Alicante Bouschet,Portugal,Península de Setúbal,none,5
108,Alicante Bouschet,Portugal,Tejo,none,9
116,Aligoté,France,Burgundy,Bourgogne,2
117,Aligoté,France,Burgundy,Bourgogne Aligoté,17
119,Aligoté,US,California,Mt. Harlan,4
120,Aligoté,US,Washington,Snipes Mountain,2
121,Aligoté,US,Washington,Washington,2
122,Aligoté,US,Washington,Yakima Valley,2
123,Alsace white blend,France,Alsace,Alsace,51
124,Altesse,France,France Other,Roussette de Savoie,5
125,Altesse,France,France Other,Savoie,2
129,Alvarinho,Portugal,Alentejano,none,9
131,Alvarinho,Portugal,Duriense,none,4
132,Alvarinho,Portugal,Lisboa,none,13
133,Alvarinho,Portugal,Minho,none,27
134,Alvarinho,Portugal,Portuguese Table Wine,none,2
135,Alvarinho,Portugal,Tejo,none,6
136,Alvarinho,Portugal,Vinho Verde,none,74
138,Alvarinho-Chardonnay,Portugal,Lisboa,none,4
140,Ansonica,Italy,Tuscany,Toscana,2
141,Antão Vaz,Portugal,Alentejano,none,8
142,Antão Vaz,Portugal,Alentejo,none,5
144,Antão Vaz,Portugal,Península de Setúbal,none,3
147,Aragonez,Portugal,Alentejano,none,6
148,Aragonez,Portugal,Lisboa,none,2
149,Aragonez,Portugal,Península de Setúbal,none,2
150,Aragonês,Portugal,Alentejano,none,10
151,Argaman,Israel,Galil,none,2
154,Arinto,Portugal,Bairrada,none,8
155,Arinto,Portugal,Bucelas,none,22
157,Arinto,Portugal,Lisboa,none,20
158,Arinto,Portugal,Tejo,none,18
159,Arinto,Portugal,Vinho Verde,none,7
160,Arneis,Italy,Piedmont,Langhe,11
161,Arneis,Italy,Piedmont,Roero,49
162,Arneis,Italy,Piedmont,Roero Arneis,10
166,Arneis,US,California,Mendocino County,6
168,Arneis,US,California,Russian River Valley,3
170,Arneis,US,Oregon,Willamette Valley,2
171,Asprinio,Italy,Southern Italy,Asprinio di Aversa,2
174,Assyrtico,Greece,Crete,none,2
175,Assyrtico,Greece,Drama,none,4
176,Assyrtico,Greece,Pangeon,none,3
178,Assyrtico,Greece,Santorini,none,31
181,Assyrtiko,Greece,Crete,none,2
182,Assyrtiko,Greece,Drama,none,3
183,Assyrtiko,Greece,Santorini,none,11
187,Austrian Red Blend,Austria,Burgenland,none,49
188,Austrian Red Blend,Austria,Carnuntum,none,2
189,Austrian Red Blend,Austria,Niederösterreich,none,5
191,Austrian Red Blend,Austria,Thermenregion,none,2
195,Austrian white blend,Austria,Burgenland,none,25
196,Austrian white blend,Austria,Niederösterreich,none,5
197,Austrian white blend,Austria,Steiermark,none,2
198,Austrian white blend,Austria,Südoststeiermark,none,2
199,Austrian white blend,Austria,Thermenregion,none,10
200,Austrian white blend,Austria,Vienna,none,16
201,Austrian white blend,Austria,Wiener Gemischter Satz,none,15
202,Austrian white blend,Austria,Österreichischer Sekt,none,3
204,Auxerrois,France,Alsace,Alsace,11
210,Auxerrois,US,Michigan,Leelanau Peninsula,2
212,Auxerrois,US,Oregon,Eola-Amity Hills,3
213,Auxerrois,US,Oregon,Ribbon Ridge,4
215,Avesso,Portugal,Vinho Verde,none,6
216,Azal,Portugal,Vinho Verde,none,3
217,Babić,Croatia,North Dalmatia,none,4
219,Bacchus,Germany,Franken,none,2
220,Baco Noir,US,New York,Hudson River Region,3
221,Baco Noir,US,New York,New York,5
222,Baco Noir,US,Oregon,Umpqua Valley,8
223,Baga,Portugal,Alentejano,none,2
224,Baga,Portugal,Bairrada,none,21
225,Baga,Portugal,Beira Atlantico,none,3
227,Baga,Portugal,Vinho Espumante de Qualidade,none,2
234,Barbera,Italy,Piedmont,Barbera d'Alba,147
235,Barbera,Italy,Piedmont,Barbera d'Alba Superiore,53
236,Barbera,Italy,Piedmont,Barbera d'Asti,129
237,Barbera,Italy,Piedmont,Barbera d'Asti Superiore,91
238,Barbera,Italy,Piedmont,Barbera d'Asti Superiore Nizza,20
239,Barbera,Italy,Piedmont,Barbera del Monferrato,13
240,Barbera,Italy,Piedmont,Barbera del Monferrato Superiore,11
241,Barbera,Italy,Piedmont,Barbera di Piemonte,2
242,Barbera,Italy,Piedmont,Colli Tortonesi,2
244,Barbera,Italy,Piedmont,Piedmont,6
246,Barbera,Italy,Piedmont,none,3
248,Barbera,US,California,Alexander Valley,2
249,Barbera,US,California,Amador County,52
250,Barbera,US,California,California,8
251,Barbera,US,California,Central Coast,3
252,Barbera,US,California,Clear Lake,3
254,Barbera,US,California,Dry Creek Valley,2
255,Barbera,US,California,El Dorado,15
256,Barbera,US,California,High Valley,2
257,Barbera,US,California,Lake County,3
258,Barbera,US,California,Livermore Valley,6
259,Barbera,US,California,Lodi,10
260,Barbera,US,California,Mendocino,3
261,Barbera,US,California,Mendocino County,10
262,Barbera,US,California,Paso Robles,10
264,Barbera,US,California,San Benito County,2
266,Barbera,US,California,Santa Barbara County,4
267,Barbera,US,California,Santa Clara Valley,3
268,Barbera,US,California,Santa Ynez Valley,2
269,Barbera,US,California,Shenandoah Valley (CA),25
270,Barbera,US,California,Sierra Foothills,22
272,Barbera,US,California,Sonoma County,2
273,Barbera,US,California,Sonoma Valley,5
275,Barbera,US,Nevada,Nevada,2
276,Barbera,US,New York,Finger Lakes,3
277,Barbera,US,Washington,Columbia Valley (WA),22
278,Barbera,US,Washington,Naches Heights,2
279,Barbera,US,Washington,Red Mountain,2
282,Barbera,US,Washington,Walla Walla Valley (WA),4
290,Bical,Portugal,Bairrada,none,13
291,Black Monukka,US,California,California,2
292,Black Muscat,US,California,California,5
295,Black Muscat,US,Washington,Rattlesnake Hills,2
296,Black Muscat,US,Washington,Yakima Valley,2
297,Blanc du Bois,US,Texas,Texas,6
303,Blaufränkisch,Austria,Burgenland,none,135
304,Blaufränkisch,Austria,Carnuntum,none,13
305,Blaufränkisch,Austria,Eisenberg,none,16
306,Blaufränkisch,Austria,Leithaberg,none,27
307,Blaufränkisch,Austria,Mittelburgenland,none,19
309,Blaufränkisch,Austria,Thermenregion,none,2
313,Blaufränkisch,US,California,Santa Ynez Valley,2
314,Blaufränkisch,US,New York,Finger Lakes,8
317,Blaufränkisch,US,Washington,Washington,4
318,Bobal,Spain,Central Spain,Manchuela,4
319,Bobal,Spain,Levante,Utiel-Requena,15
320,Bobal,Spain,Levante,Valencia,2
321,Bobal,Spain,Spain Other,Spain,2
323,Bombino Bianco,Italy,Southern Italy,Castel del Monte,2
325,Bonarda,Argentina,Mendoza Province,Agrelo,7
326,Bonarda,Argentina,Mendoza Province,Luján de Cuyo,3
328,Bonarda,Argentina,Mendoza Province,Mendoza,86
331,Bonarda,Argentina,Other,Argentina,3
332,Bonarda,Argentina,Other,Famatina Valley,2
334,Bordeaux-style Red Blend,Argentina,Mendoza Province,Agrelo,2
336,Bordeaux-style Red Blend,Argentina,Mendoza Province,Luján de Cuyo,5
337,Bordeaux-style Red Blend,Argentina,Mendoza Province,Mendoza,60
338,Bordeaux-style Red Blend,Argentina,Mendoza Province,Tupungato,7
339,Bordeaux-style Red Blend,Argentina,Mendoza Province,Uco Valley,4
340,Bordeaux-style Red Blend,Argentina,Mendoza Province,Valle de Uco,3
341,Bordeaux-style Red Blend,Argentina,Mendoza Province,Vista Flores,2
349,Bordeaux-style Red Blend,Australia,South Australia,Coonawarra,2
351,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale,2
353,Bordeaux-style Red Blend,Australia,Victoria,Yarra Valley,8
355,Bordeaux-style Red Blend,Australia,Western Australia,Margaret River,11
361,Bordeaux-style Red Blend,Bulgaria,Thracian Valley,none,2
362,Bordeaux-style Red Blend,Canada,British Columbia,Okanagan Valley,15
363,Bordeaux-style Red Blend,Chile,Aconcagua Valley,none,5
365,Bordeaux-style Red Blend,Chile,Colchagua Valley,none,5
366,Bordeaux-style Red Blend,Chile,Maipo Valley,none,11
367,Bordeaux-style Red Blend,Chile,Maule Valley,none,11
369,Bordeaux-style Red Blend,Chile,Santa Cruz,none,3
371,Bordeaux-style Red Blend,France,Bordeaux,Blaye Côtes de Bordeaux,291
372,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux,482
374,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Clairet,20
375,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Côtes de Francs ,4
376,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Rosé,8
377,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Supérieur,447
379,Bordeaux-style Red Blend,France,Bordeaux,Cadillac Côtes de Bordeaux,120
380,Bordeaux-style Red Blend,France,Bordeaux,Canon-Fronsac,9
381,Bordeaux-style Red Blend,France,Bordeaux,Castillon Côtes de Bordeaux,148
382,Bordeaux-style Red Blend,France,Bordeaux,Côtes de Bordeaux,49
383,Bordeaux-style Red Blend,France,Bordeaux,Côtes de Bourg,96
384,Bordeaux-style Red Blend,France,Bordeaux,Côtes de Castillon,7
385,Bordeaux-style Red Blend,France,Bordeaux,Francs Côtes de Bordeaux,26
386,Bordeaux-style Red Blend,France,Bordeaux,Fronsac,41
387,Bordeaux-style Red Blend,France,Bordeaux,Graves,69
388,Bordeaux-style Red Blend,France,Bordeaux,Haut-Médoc,373
389,Bordeaux-style Red Blend,France,Bordeaux,Lalande de Pomerol,71
390,Bordeaux-style Red Blend,France,Bordeaux,Listrac-Médoc,68
391,Bordeaux-style Red Blend,France,Bordeaux,Lussac Saint-Émilion,23
392,Bordeaux-style Red Blend,France,Bordeaux,Margaux,263
393,Bordeaux-style Red Blend,France,Bordeaux,Montagne-Saint-Émilion,34
395,Bordeaux-style Red Blend,France,Bordeaux,Moulis-en-Médoc,56
396,Bordeaux-style Red Blend,France,Bordeaux,Médoc,303
397,Bordeaux-style Red Blend,France,Bordeaux,Pauillac,214
398,Bordeaux-style Red Blend,France,Bordeaux,Pessac-Léognan,229
399,Bordeaux-style Red Blend,France,Bordeaux,Pomerol,179
400,Bordeaux-style Red Blend,France,Bordeaux,Premieres Côtes de Blaye,9
401,Bordeaux-style Red Blend,France,Bordeaux,Premieres Côtes de Bordeaux,17
402,Bordeaux-style Red Blend,France,Bordeaux,Puisseguin Saint-Émilion,23
403,Bordeaux-style Red Blend,France,Bordeaux,Saint-Estèphe,205
404,Bordeaux-style Red Blend,France,Bordeaux,Saint-Georges-Saint-Émilion,5
405,Bordeaux-style Red Blend,France,Bordeaux,Saint-Julien,166
406,Bordeaux-style Red Blend,France,Bordeaux,Saint-Émilion,554
407,Bordeaux-style Red Blend,France,Bordeaux,Sainte-Foy Bordeaux,3
408,Bordeaux-style Red Blend,France,Bordeaux,Sauternes,2
414,Bordeaux-style Red Blend,France,Southwest France,Bergerac,31
415,Bordeaux-style Red Blend,France,Southwest France,Bergerac Sec,2
416,Bordeaux-style Red Blend,France,Southwest France,Buzet,13
417,Bordeaux-style Red Blend,France,Southwest France,Côtes de Bergerac,23
418,Bordeaux-style Red Blend,France,Southwest France,Côtes de Duras,5
419,Bordeaux-style Red Blend,France,Southwest France,Côtes de Gascogne,2
420,Bordeaux-style Red Blend,France,Southwest France,Côtes du Marmandais,4
421,Bordeaux-style Red Blend,France,Southwest France,Côtes du Tarn,5
422,Bordeaux-style Red Blend,France,Southwest France,Montravel,9
423,Bordeaux-style Red Blend,France,Southwest France,Pécharmant,7
426,Bordeaux-style Red Blend,Hungary,Villány,none,6
427,Bordeaux-style Red Blend,Israel,Galilee,none,14
428,Bordeaux-style Red Blend,Israel,Haut-Judeé,none,4
431,Bordeaux-style Red Blend,Israel,Judean Hills,none,21
435,Bordeaux-style Red Blend,Moldova,Moldova,none,2
436,Bordeaux-style Red Blend,New Zealand,Hawke's Bay,none,26
439,Bordeaux-style Red Blend,Portugal,Península de Setúbal,none,3
441,Bordeaux-style Red Blend,Slovenia,Goriska Brda,none,4
442,Bordeaux-style Red Blend,South Africa,Coastal Region,none,5
443,Bordeaux-style Red Blend,South Africa,Constantia,none,2
447,Bordeaux-style Red Blend,South Africa,Paarl,none,17
448,Bordeaux-style Red Blend,South Africa,Philadelphia,none,2
449,Bordeaux-style Red Blend,South Africa,Simonsberg-Stellenbosch,none,5
450,Bordeaux-style Red Blend,South Africa,Stellenbosch,none,51
451,Bordeaux-style Red Blend,South Africa,Walker Bay,none,2
454,Bordeaux-style Red Blend,Spain,Catalonia,Penedès,3
457,Bordeaux-style Red Blend,Spain,Northern Spain,Empordà,3
462,Bordeaux-style Red Blend,US,America,none,2
463,Bordeaux-style Red Blend,US,California,Adelaida District,6
464,Bordeaux-style Red Blend,US,California,Alexander Valley,43
465,Bordeaux-style Red Blend,US,California,California,16
466,Bordeaux-style Red Blend,US,California,Calistoga,7
467,Bordeaux-style Red Blend,US,California,Carmel Valley,7
469,Bordeaux-style Red Blend,US,California,Central Coast,3
470,Bordeaux-style Red Blend,US,California,Chalk Hill,3
471,Bordeaux-style Red Blend,US,California,Coombsville,3
472,Bordeaux-style Red Blend,US,California,Diamond Mountain District,15
473,Bordeaux-style Red Blend,US,California,Dry Creek Valley,9
474,Bordeaux-style Red Blend,US,California,El Dorado,3
476,Bordeaux-style Red Blend,US,California,Happy Canyon of Santa Barbara,24
477,Bordeaux-style Red Blend,US,California,Howell Mountain,6
478,Bordeaux-style Red Blend,US,California,Knights Valley,10
479,Bordeaux-style Red Blend,US,California,Lake County,6
480,Bordeaux-style Red Blend,US,California,Livermore Valley,12
481,Bordeaux-style Red Blend,US,California,Lodi,2
482,Bordeaux-style Red Blend,US,California,Malibu Coast,2
483,Bordeaux-style Red Blend,US,California,Mendocino,3
484,Bordeaux-style Red Blend,US,California,Monterey,2
485,Bordeaux-style Red Blend,US,California,Monterey County,2
486,Bordeaux-style Red Blend,US,California,Moon Mountain District Sonoma County,3
487,Bordeaux-style Red Blend,US,California,Mount Veeder,5
488,Bordeaux-style Red Blend,US,California,Napa,2
489,Bordeaux-style Red Blend,US,California,Napa Valley,334
490,Bordeaux-style Red Blend,US,California,North Coast,5
491,Bordeaux-style Red Blend,US,California,Oak Knoll District,4
492,Bordeaux-style Red Blend,US,California,Oakville,12
493,Bordeaux-style Red Blend,US,California,Paicines,6
494,Bordeaux-style Red Blend,US,California,Paso Robles,109
495,Bordeaux-style Red Blend,US,California,Paso Robles Willow Creek District,3
497,Bordeaux-style Red Blend,US,California,Red Hills Lake County,2
498,Bordeaux-style Red Blend,US,California,Rockpile,4
499,Bordeaux-style Red Blend,US,California,Russian River Valley,2
500,Bordeaux-style Red Blend,US,California,Rutherford,13
502,Bordeaux-style Red Blend,US,California,Santa Barbara County,9
503,Bordeaux-style Red Blend,US,California,Santa Cruz Mountains,25
504,Bordeaux-style Red Blend,US,California,Santa Ynez Valley,30
505,Bordeaux-style Red Blend,US,California,Sierra Foothills,4
508,Bordeaux-style Red Blend,US,California,Sonoma County,49
509,Bordeaux-style Red Blend,US,California,Sonoma Mountain,7
510,Bordeaux-style Red Blend,US,California,Sonoma Valley,17
511,Bordeaux-style Red Blend,US,California,South Coast,3
512,Bordeaux-style Red Blend,US,California,Spring Mountain District,12
513,Bordeaux-style Red Blend,US,California,St. Helena,3
514,Bordeaux-style Red Blend,US,California,Stags Leap District,10
515,Bordeaux-style Red Blend,US,California,Temecula,2
516,Bordeaux-style Red Blend,US,California,Temecula Valley,3
517,Bordeaux-style Red Blend,US,California,Templeton Gap District,2
519,Bordeaux-style Red Blend,US,California,Yountville,5
521,Bordeaux-style Red Blend,US,Colorado,Grand Valley,3
523,Bordeaux-style Red Blend,US,Idaho,none,5
524,Bordeaux-style Red Blend,US,Michigan,Lake Michigan Shore,2
528,Bordeaux-style Red Blend,US,New York,Finger Lakes,27
529,Bordeaux-style Red Blend,US,New York,Long Island,3
530,Bordeaux-style Red Blend,US,New York,New York,10
531,Bordeaux-style Red Blend,US,New York,North Fork of Long Island,41
532,Bordeaux-style Red Blend,US,New York,Seneca Lake,2
533,Bordeaux-style Red Blend,US,New York,"The Hamptons, Long Island",2
535,Bordeaux-style Red Blend,US,North Carolina,Yadkin Valley,2
536,Bordeaux-style Red Blend,US,Oregon,Applegate Valley,2
537,Bordeaux-style Red Blend,US,Oregon,Columbia Valley (OR),4
538,Bordeaux-style Red Blend,US,Oregon,Oregon,2
539,Bordeaux-style Red Blend,US,Oregon,Rogue Valley,9
540,Bordeaux-style Red Blend,US,Oregon,Walla Walla Valley (OR),10
541,Bordeaux-style Red Blend,US,Virginia,Middleburg,4
542,Bordeaux-style Red Blend,US,Virginia,Monticello,14
544,Bordeaux-style Red Blend,US,Virginia,Virginia,52
545,Bordeaux-style Red Blend,US,Virginia,Virginia's Eastern Shore,2
547,Bordeaux-style Red Blend,US,Washington,Columbia Valley (WA),384
548,Bordeaux-style Red Blend,US,Washington,Horse Heaven Hills,20
549,Bordeaux-style Red Blend,US,Washington,Naches Heights,2
550,Bordeaux-style Red Blend,US,Washington,Rattlesnake Hills,2
551,Bordeaux-style Red Blend,US,Washington,Red Mountain,121
552,Bordeaux-style Red Blend,US,Washington,Snipes Mountain,4
553,Bordeaux-style Red Blend,US,Washington,Wahluke Slope,10
554,Bordeaux-style Red Blend,US,Washington,Walla Walla Valley (WA),117
555,Bordeaux-style Red Blend,US,Washington,Washington,12
556,Bordeaux-style Red Blend,US,Washington,Yakima Valley,70
558,Bordeaux-style White Blend,France,Bordeaux,Barsac,50
559,Bordeaux-style White Blend,France,Bordeaux,Blaye Côtes de Bordeaux,31
560,Bordeaux-style White Blend,France,Bordeaux,Bordeaux Blanc,433
561,Bordeaux-style White Blend,France,Bordeaux,Cadillac,6
562,Bordeaux-style White Blend,France,Bordeaux,Cérons,4
563,Bordeaux-style White Blend,France,Bordeaux,Côtes de Bordeaux,2
564,Bordeaux-style White Blend,France,Bordeaux,Côtes de Bourg,2
565,Bordeaux-style White Blend,France,Bordeaux,Entre-Deux-Mers,36
566,Bordeaux-style White Blend,France,Bordeaux,Francs Côtes de Bordeaux,9
567,Bordeaux-style White Blend,France,Bordeaux,Graves,62
568,Bordeaux-style White Blend,France,Bordeaux,Pessac-Léognan,160
571,Bordeaux-style White Blend,France,Bordeaux,Saint-Croix-du-Mont,3
572,Bordeaux-style White Blend,France,Bordeaux,Sainte-Foy Bordeaux,3
573,Bordeaux-style White Blend,France,Bordeaux,Sauternes,143
574,Bordeaux-style White Blend,France,Bordeaux,none,5
575,Bordeaux-style White Blend,France,Southwest France,Bergerac,2
576,Bordeaux-style White Blend,France,Southwest France,Bergerac Sec,42
577,Bordeaux-style White Blend,France,Southwest France,Buzet,2
578,Bordeaux-style White Blend,France,Southwest France,Côtes de Bergerac,2
581,Bordeaux-style White Blend,France,Southwest France,Monbazillac,16
582,Bordeaux-style White Blend,France,Southwest France,Montravel,2
587,Bordeaux-style White Blend,US,California,Happy Canyon of Santa Barbara,3
588,Bordeaux-style White Blend,US,California,Napa Valley,11
591,Bordeaux-style White Blend,US,California,Sonoma County,2
592,Bordeaux-style White Blend,US,Washington,Columbia Valley (WA),19
594,Bordeaux-style White Blend,US,Washington,Walla Walla Valley (WA),3
596,Bovale,Italy,Sicily & Sardinia,Isola dei Nuraghi,4
602,Brachetto,Italy,Piedmont,Brachetto d'Acqui,7
603,Brachetto,Italy,Piedmont,Piedmont,7
604,Braucol,France,Southwest France,Gaillac,4
606,Bual,Portugal,Madeira,none,7
609,Cabernet,Italy,Central Italy,Umbria,3
616,Cabernet Blend,Argentina,Mendoza Province,Luján de Cuyo,3
617,Cabernet Blend,Argentina,Mendoza Province,Mendoza,5
621,Cabernet Blend,Chile,Aconcagua Valley,none,3
622,Cabernet Blend,Chile,Cachapoal Valley,none,6
624,Cabernet Blend,Chile,Colchagua Valley,none,5
625,Cabernet Blend,Chile,Maipo Valley,none,5
626,Cabernet Blend,Chile,Maule Valley,none,4
627,Cabernet Blend,Chile,Rapel Valley,none,4
630,Cabernet Blend,Greece,Attica,none,2
632,Cabernet Blend,Israel,Judean Hills,none,2
643,Cabernet Blend,Spain,Levante,Jumilla,2
648,Cabernet Blend,US,California,Coombsville,2
652,Cabernet Blend,US,California,Napa Valley,8
654,Cabernet Blend,US,California,Paso Robles,2
657,Cabernet Franc,Argentina,Mendoza Province,Agrelo,5
660,Cabernet Franc,Argentina,Mendoza Province,Mendoza,34
661,Cabernet Franc,Argentina,Mendoza Province,Tupungato,11
662,Cabernet Franc,Argentina,Mendoza Province,Uco Valley,3
663,Cabernet Franc,Argentina,Mendoza Province,Valle de Uco,2
664,Cabernet Franc,Argentina,Other,Alto Valle del Río Negro,3
665,Cabernet Franc,Argentina,Other,Patagonia,2
666,Cabernet Franc,Argentina,Other,San Juan,2
669,Cabernet Franc,Bulgaria,Thracian Valley,none,2
670,Cabernet Franc,Canada,British Columbia,Okanagan Valley,16
671,Cabernet Franc,Canada,Ontario,Niagara Escarpment,2
672,Cabernet Franc,Canada,Ontario,Niagara Peninsula,4
673,Cabernet Franc,Canada,Ontario,Niagara-On-The-Lake,2
674,Cabernet Franc,Chile,Cachapoal Valley,none,4
675,Cabernet Franc,Chile,Casablanca Valley,none,7
676,Cabernet Franc,Chile,Colchagua Valley,none,8
677,Cabernet Franc,Chile,Curicó Valley,none,5
681,Cabernet Franc,Chile,Maipo Valley,none,5
682,Cabernet Franc,Chile,Maule Valley,none,5
689,Cabernet Franc,France,Loire Valley,Anjou,12
690,Cabernet Franc,France,Loire Valley,Anjou Villages,2
691,Cabernet Franc,France,Loire Valley,Bourgueil,22
692,Cabernet Franc,France,Loire Valley,Chinon,68
693,Cabernet Franc,France,Loire Valley,Crémant de Loire,5
694,Cabernet Franc,France,Loire Valley,Saint-Nicolas-de-Bourgueil,22
695,Cabernet Franc,France,Loire Valley,Saumur,7
696,Cabernet Franc,France,Loire Valley,Saumur-Champigny,23
697,Cabernet Franc,France,Loire Valley,Touraine,2
703,Cabernet Franc,Hungary,Villány,none,4
704,Cabernet Franc,Israel,Galilee,none,2
707,Cabernet Franc,Israel,Upper Galilee,none,2
710,Cabernet Franc,Italy,Sicily & Sardinia,Sicilia,2
711,Cabernet Franc,Italy,Tuscany,Costa Toscana,2
713,Cabernet Franc,Italy,Tuscany,Toscana,19
718,Cabernet Franc,South Africa,Stellenbosch,none,3
720,Cabernet Franc,US,California,Alexander Valley,12
721,Cabernet Franc,US,California,Amador County,2
723,Cabernet Franc,US,California,California,4
724,Cabernet Franc,US,California,Calistoga,9
725,Cabernet Franc,US,California,Carmel Valley,9
726,Cabernet Franc,US,California,Central Coast,3
730,Cabernet Franc,US,California,Diamond Mountain District,6
731,Cabernet Franc,US,California,Dry Creek Valley,17
732,Cabernet Franc,US,California,El Dorado,8
733,Cabernet Franc,US,California,El Dorado County,2
735,Cabernet Franc,US,California,Happy Canyon of Santa Barbara,2
736,Cabernet Franc,US,California,Howell Mountain,4
737,Cabernet Franc,US,California,Knights Valley,2
738,Cabernet Franc,US,California,Lake County,3
739,Cabernet Franc,US,California,Livermore Valley,17
740,Cabernet Franc,US,California,Lodi,12
741,Cabernet Franc,US,California,Mendocino,4
742,Cabernet Franc,US,California,Monterey County,2
743,Cabernet Franc,US,California,Mount Veeder,4
744,Cabernet Franc,US,California,Napa Valley,75
745,Cabernet Franc,US,California,Nevada County,2
746,Cabernet Franc,US,California,North Coast,3
747,Cabernet Franc,US,California,Oak Knoll District,3
748,Cabernet Franc,US,California,Oakville,7
749,Cabernet Franc,US,California,Paicines,3
750,Cabernet Franc,US,California,Paso Robles,28
752,Cabernet Franc,US,California,Russian River Valley,11
753,Cabernet Franc,US,California,Rutherford,11
754,Cabernet Franc,US,California,Santa Barbara County,3
755,Cabernet Franc,US,California,Santa Clara Valley,3
756,Cabernet Franc,US,California,Santa Cruz Mountains,13
757,Cabernet Franc,US,California,Santa Ynez Valley,16
758,Cabernet Franc,US,California,Sierra Foothills,15
760,Cabernet Franc,US,California,Sonoma County,12
761,Cabernet Franc,US,California,Sonoma County-Napa County,2
762,Cabernet Franc,US,California,Sonoma Valley,3
764,Cabernet Franc,US,California,Spring Mountain District,2
765,Cabernet Franc,US,California,St. Helena,6
766,Cabernet Franc,US,California,Stags Leap District,2
768,Cabernet Franc,US,California,Temecula Valley,6
771,Cabernet Franc,US,California,Yorkville Highlands,2
772,Cabernet Franc,US,Colorado,Colorado,4
773,Cabernet Franc,US,Colorado,Grand Valley,6
776,Cabernet Franc,US,Idaho,none,2
779,Cabernet Franc,US,Michigan,Lake Michigan Shore,3
780,Cabernet Franc,US,Michigan,Michigan,2
781,Cabernet Franc,US,Michigan,Old Mission Peninsula,5
782,Cabernet Franc,US,New Mexico,New Mexico,3
783,Cabernet Franc,US,New York,Cayuga Lake,3
784,Cabernet Franc,US,New York,Finger Lakes,125
785,Cabernet Franc,US,New York,Hudson River Region,10
786,Cabernet Franc,US,New York,Long Island,2
787,Cabernet Franc,US,New York,New York,10
